path	bytes	state	rationale	reviewer	evidence
src/engine/save_io.rs	147075	OK	Fixture-gated official MSAV/JSON save codec; splitting would risk persistence-format drift. Cohesive persist/load of one format.	M12 certification	fixture-gated MSAV/JSON codec; M12 no-split decision
src/engine/world_stream.rs	106887	OK	WorldDataBegin/stream framing; fixture-gated encoder. Cohesive wire layout; split would risk stream-format drift.	M12 certification	fixture-gated world-stream encoder; M12 no-split decision
src/logic/mod.rs	2572	SPLIT_COMPLETE	Production logic facade after mechanical test extraction to logic/tests.rs. Review unit is this file (~2 KB), not the test module.	M13.1 architecture audit	mechanical test extraction; assertions unchanged (m13.1-arch-audit.md)
src/logic/tests.rs	142618	SPLIT_COMPLETE	Test-only module mechanically extracted from logic/mod.rs so the production facade stays reviewable. SpawnUnitI type-gate and Units.canCreate contract regressions remain test-only.	M13.1 architecture audit	mechanical test extraction; m13.1-arch-audit.md Goal 6; SpawnUnitI jitter/type-gate and canCreate contract tests
src/network/economy/mod.rs	8094	SPLIT_COMPLETE	Production economy facade after mechanical test extraction to economy/tests.rs. Review unit is this file (~8 KB), not the test module.	M13.1 architecture audit	mechanical test extraction; m13.1-arch-audit.md Goal 6
src/network/economy/tests.rs	396081	SPLIT_COMPLETE	Test-only module mechanically extracted from economy/mod.rs so the production facade stays reviewable; independently authored v159.7 oracle scenarios remain test-only.	M13.1 architecture audit	mechanical test extraction plus PowerTests behavioral mirrors; not a production cohesive blob
src/network/listener/mod.rs	64179	SPLIT_COMPLETE	Production adapter facade after mechanical test extraction to listener/tests.rs. Review unit is this file (~59 KB), not the test module.	M13.1 architecture audit	mechanical test extraction; m13.1-arch-audit.md Goal 6
src/network/listener/tests.rs	783441	SPLIT_COMPLETE	Test-only module mechanically extracted from listener/mod.rs so the production adapter facade stays reviewable. Assertions unchanged.	M13.1 architecture audit	mechanical test extraction; not a production cohesive blob
src/network/units/mod.rs	108672	OK	Unit domain state and authoritative controller helpers remain together; no transport dependency is introduced.	0.2.0 integration review	architecture capability scan; unit controller regression suite
src/network/economy/erekir.rs	102772	OK	Erekir economy simulation keeps its shared heat and crafting state in the existing domain.	0.2.0 integration review	architecture capability scan; Erekir economy regression suite
src/network/combat/projectiles.rs	109029	OK	Projectile integration, collision and hit resolution share one authoritative combat path.	0.2.0 integration review	architecture capability scan; swept collision and projectile regression tests
src/network/buildings/snapshot.rs	103938	OK	Building snapshots keep format-specific tails together for target-JAR fixture validation.	0.2.0 integration review	architecture capability scan; complete target-JAR snapshot readers
